10,10,,,,,,,,
N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0
N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0
N|1000|0,N|1000|0,N|1000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0
N|0000|0,N|0000|0,N|0010|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0
N|0000|0,N|0000|0,N|0010|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0
N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0001|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0
N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0001|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0
N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0001|0,N|0100|0,N|0100|0,N|0000|0,N|0000|0
N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0
N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0,N|0000|0
